"id","state","emptot","emptot2","demp","chain","bk","kfc","roys","wendys","wage_st","wage_st2"
46,0,40.5,24,-16.5,"1",1,0,0,0,NA,4.3
49,0,13.75,11.5,-2.25,"2",0,1,0,0,NA,4.45
506,0,8.5,10.5,2,"2",0,1,0,0,NA,5
56,0,34,20,-14,"4",0,0,0,1,5,5.25
61,0,24,35.5,11.5,"4",0,0,0,1,5.5,4.75
62,0,20.5,NA,NA,"4",0,0,0,1,5,NA
445,0,70.5,29,-41.5,"1",1,0,0,0,5,4.75
451,0,23.5,36.5,13,"1",1,0,0,0,5,5
455,0,11,11,0,"2",0,1,0,0,5.25,5
458,0,9,8.5,-0.5,"2",0,1,0,0,5,5
462,0,15.5,17.5,2,"3",0,0,1,0,5,4.75
468,0,58,29,-29,"1",1,0,0,0,5,5
469,0,26.5,30.5,4,"1",1,0,0,0,5,4.5
470,0,28.5,26,-2.5,"1",1,0,0,0,5.5,4.75
474,0,13.5,18,4.5,"1",1,0,0,0,5,4.5
481,0,16.75,20,3.25,"2",0,1,0,0,5.25,5
483,0,9.5,13.5,4,"2",0,1,0,0,5,4.75
487,0,15,19,4,"3",0,0,1,0,5,4.75
488,0,29.5,15.5,-14,"3",0,0,1,0,5,4.75
489,0,18.5,14.5,-4,"3",0,0,1,0,5,4.25
490,0,20.25,14,-6.25,"3",0,0,1,0,5,5
493,0,36,19,-17,"3",0,0,1,0,5,4.9
495,0,21,21,0,"3",0,0,1,0,5,5
496,0,20.5,18,-2.5,"3",0,0,1,0,5,4.75
499,0,19,20.5,1.5,"4",0,0,0,1,5,5
509,0,14,13.5,-0.5,"3",0,0,1,0,5,4.25
515,0,19,17.5,-1.5,"3",0,0,1,0,5,4.75
37,0,32.5,25.5,-7,"1",1,0,0,0,4.25,4.25
39,0,19,15.5,-3.5,"1",1,0,0,0,4.25,NA
40,0,27,25.5,-1.5,"1",1,0,0,0,4.25,4.25
41,0,19.5,27,7.5,"1",1,0,0,0,4.25,4.25
42,0,24,16,-8,"1",1,0,0,0,4.5,4.25
45,0,18,19,1,"1",1,0,0,0,4.25,4.25
47,0,NA,24.5,NA,"1",1,0,0,0,4.5,4.25
48,0,19,25,6,"1",1,0,0,0,4.25,4.38
50,0,14,17,3,"2",0,1,0,0,4.5,4.75
51,0,10.5,16.5,6,"2",0,1,0,0,4.25,4.25
57,0,38,20,-18,"4",0,0,0,1,4.67,4.5
58,0,23.5,18,-5.5,"4",0,0,0,1,4.75,4.5
59,0,10.5,12,1.5,"4",0,0,0,1,4.25,4.25
60,0,25,25,0,"4",0,0,0,1,4.25,4.25
407,0,11,11,0,"2",0,1,0,0,4.75,4.25
430,0,36.5,27,-9.5,"1",1,0,0,0,4.25,4.25
432,0,52.5,34,-18.5,"1",1,0,0,0,4.5,5.05
433,0,29,25,-4,"1",1,0,0,0,4.25,NA
434,0,45,37.5,-7.5,"1",1,0,0,0,4.25,4.25
435,0,22.75,21,-1.75,"1",1,0,0,0,4.25,4.25
438,0,7.5,9.5,2,"2",0,1,0,0,4.25,4.25
440,0,15.5,18,2.5,"4",0,0,0,1,4.25,NA
441,0,38,18,-20,"4",0,0,0,1,4.25,4.25
443,0,17.5,19,1.5,"4",0,0,0,1,4.25,4.35
444,0,25,31.5,6.5,"4",0,0,0,1,4.25,4.5
446,0,NA,23,NA,"1",1,0,0,0,4.5,5
448,0,21,24.5,3.5,"1",1,0,0,0,4.75,4.5
449,0,15.5,27.5,12,"1",1,0,0,0,4.87,5
450,0,15.5,34.5,19,"1",1,0,0,0,4.75,4.75
454,0,8.5,14,5.5,"2",0,1,0,0,4.5,5
459,0,18,15,-3,"3",0,0,1,0,4.25,4.35
466,0,20.75,23,2.25,"4",0,0,0,1,4.75,NA
471,0,39,26.5,-12.5,"1",1,0,0,0,4.25,4.25
